Cooling load (Kwh),Heating load (Kwh)
191.0004312,176.6242295
249.5255183,170.7663134
207.3015143,335.8934361
206.3870365,231.0365311
214.4726112,224.3069823
165.8475729,244.3526836
152.1756526,218.76695
134.5840804,233.2320114
72.29992451,242.0692579
148.1620166,253.1667466
200.8932655,288.1572248
226.8537357,397.5035791
310.6518084,367.9317759
337.6680259,380.8145781
289.5573954,339.1842623
289.5020556,310.0413813
308.0411647,315.1779408
293.2752476,336.5750768
306.6138106,333.0021048
306.6722451,373.1863829
275.6667293,371.8526153
253.8776282,304.4344544
250.1967972,259.9058956
194.3869805,260.0024883
206.5115275,298.5462458
187.6621663,311.2943282
138.5442981,342.5150209
99.42213395,348.720553
132.3446371,356.3372326
126.4950995,374.9200753
37.2991259,382.7706258
129.3476208,423.1570005
33.42333748,428.9261587
108.9205613,456.5081552
142.9648406,509.5304332
155.6983348,574.764085
186.751693,571.3168942
214.3243875,552.543316
323.9724151,521.3824082
349.4175744,472.5951133
306.5375267,438.7608711
269.9715052,433.5926825
264.7291443,413.8156359
267.5775678,410.6741932
236.1262726,438.9743709
246.8788125,348.0322724
260.5601537,341.0457705
231.8878895,328.8279238
239.3720503,325.1790299
186.3217959,341.5364211
136.9093034,332.0269745
156.6416378,338.7728648
141.8538847,352.5322576
90.36708698,358.8087852
52.13184745,387.8681169
13.0175562,423.7176215
103.8128371,479.7562623
0,514.6715
94.87770106,523.0171162
78.85343235,519.4901074
165.9829748,432.7260052
186.6042537,410.1836965
244.7712391,407.4252686
305.4816659,383.1894237
299.175153,374.439027
303.7691927,405.6667409
256.6196412,370.7063825
228.3049323,374.699572
217.2002586,377.6072545
290.7623699,330.048385
219.3617218,303.0735517
183.2407973,309.1278106
170.1041566,300.544853
138.1512224,302.1136883
96.85192882,241.1385056
117.6538432,282.0251445
168.4827883,306.7164099
146.1447135,310.8213647
52.02659528,353.750435
125.9116841,389.232167
85.92082441,433.695565
54.06567247,443.5730395
128.0873026,452.7837689
63.97248581,451.1677529
198.0084312,383.4976273
238.6710809,409.9179052
315.6200095,424.5234392
262.0724842,383.7280378
242.6136,358.1772694
284.199442,334.9357018
289.0865452,324.9500078
281.1116325,331.5675842
285.2401005,348.8185147
253.5198191,339.7346704
258.0359192,333.1226858
253.4512258,296.0098366
210.5860166,319.0602243
197.1851423,315.9441548
189.4665193,268.670799
200.1265333,302.24648
176.3416209,324.2985701
192.388181,311.7053584
162.4995359,358.4794198
147.3595406,449.3345999
116.129607,466.7698699
129.5439676,503.9449359
182.7284685,486.1058244
212.1104402,504.81279
225.4083696,431.8751738
302.0213127,445.040316
338.9091323,444.4751011
280.2354181,431.103755
359.1051429,388.2182143
337.9965146,384.186736
352.9755612,373.0249789
349.1695442,354.1891058
342.6611789,383.2239349
311.6518709,343.5990423
246.4895544,367.2833978
264.3618763,353.6549186
271.1288796,381.3479636
239.1629969,392.3849604
277.3952633,333.22119
254.5816503,345.1372844
256.4778665,377.1415031
184.0140071,354.9835306
226.9170552,397.8189171
224.2261771,443.1682438
222.2892211,481.5160352
229.371247,534.1778136
271.2755054,513.4729318
310.3677003,509.4221368
314.7022686,445.7821849
298.7475499,411.4230962
366.3249656,396.6684538
355.2040489,407.2576655
365.6965115,401.8503182
365.6916735,396.837412
358.4687011,372.8307675
334.7903587,347.7508006
302.1945157,376.7352111
273.5427369,357.1436492
268.6378564,345.353957
273.7187559,328.8215315
310.5840429,347.3642222
227.3741189,344.7366594
272.3110944,297.1626891
211.8298109,285.7871608
225.3566313,308.6827578
118.894202,311.0506341
270.9645038,362.3309754
193.4028502,402.2255736
230.3855468,419.9478377
209.770781,445.2196266
225.8238889,441.0299788
257.9468201,435.9920065
276.4710972,355.2580435
338.5378881,352.2310026
352.6210249,319.8209871
352.5765637,277.2456187
398.553067,257.4723345
